Latitude,Longitude,City,Country,Date,Temperature,Humidity,Cloudiness,Wind Speed
50.92,-87.62,geraldton,AU,2021-01-13 10:33:07,25.0,65.0,0.0,9.77
23.96,40.6,mecca,SA,2021-01-13 10:33:00,28.58,23.0,0.0,3.93
35.98,-6.68,conil,FR,2021-01-13 10:33:08,1.9,100.0,100.0,3.37
-3.81,55.64,victoria,HK,2021-01-13 10:33:09,12.64,52.0,39.0,2.18
-12.62,-27.91,sao jose da coroa grande,BR,2021-01-13 10:33:10,26.98,71.0,85.0,4.46
68.16,101.39,khatanga,RU,2021-01-13 10:33:10,-30.66,86.0,100.0,3.78
21.96,-118.49,guerrero negro,MX,2021-01-13 10:33:11,10.0,48.0,0.0,0.7
50.5,115.15,nizhniy tsasuchey,RU,2021-01-13 10:33:12,-22.56,81.0,0.0,1.72
-53.06,-51.53,necochea,AR,2021-01-13 10:33:13,13.33,85.0,0.0,2.11
-25.86,-81.19,coquimbo,CL,2021-01-13 10:29:38,14.0,88.0,90.0,1.03
-73.17,51.9,east london,ZA,2021-01-13 10:33:15,23.0,94.0,90.0,3.6
-50.94,162.65,tuatapere,NZ,2021-01-13 10:33:15,13.33,86.0,78.0,0.45
46.93,26.39,piatra neamt,RO,2021-01-13 10:33:16,3.33,86.0,73.0,2.51
56.23,-30.0,olafsvik,IS,2021-01-13 10:33:17,4.43,80.0,100.0,11.52
32.83,30.38,rosetta,EG,2021-01-13 10:33:17,20.0,73.0,40.0,7.72
2.92,-85.86,san cristobal,VE,2021-01-13 10:33:18,15.91,71.0,87.0,1.26
-1.05,156.08,namatanai,PG,2021-01-13 10:33:18,27.42,76.0,18.0,5.26
57.0,22.28,stende,LV,2021-01-13 10:33:19,-1.0,100.0,100.0,2.06
71.89,18.2,tromso,NO,2021-01-13 10:33:20,-4.0,58.0,0.0,5.66
69.25,-32.31,tasiilaq,GL,2021-01-13 10:33:20,0.0,86.0,90.0,18.01
-7.53,107.61,banjar,ID,2021-01-13 10:33:21,27.0,83.0,20.0,5.66
-8.17,-74.4,pucallpa,PE,2021-01-13 10:33:22,21.93,98.0,92.0,0.38
68.48,27.93,kemijarvi,FI,2021-01-13 10:33:23,-18.67,89.0,0.0,2.7
50.02,-144.47,kodiak,US,2021-01-13 10:33:23,-3.0,93.0,1.0,2.57
75.55,-141.16,aklavik,CA,2021-01-13 10:33:25,-20.0,84.0,100.0,1.03
-13.45,91.95,bengkulu,ID,2021-01-13 10:33:25,26.71,82.0,90.0,2.17
15.86,131.0,san policarpo,PH,2021-01-13 10:33:26,26.97,86.0,100.0,5.13
8.53,131.43,kloulklubed,PW,2021-01-13 10:33:26,26.0,94.0,90.0,1.54
-48.94,127.61,esperance,AU,2021-01-13 10:33:28,18.0,55.0,20.0,8.75
43.44,-93.5,albert lea,US,2021-01-13 10:33:29,-0.48,93.0,1.0,2.55
50.3,-32.19,lagoa,PT,2021-01-13 10:33:29,15.37,79.0,62.0,3.9
21.56,136.1,naze,JP,2021-01-13 10:33:30,9.0,87.0,40.0,1.03
2.93,62.83,kudahuvadhoo,MV,2021-01-13 10:33:32,27.73,76.0,100.0,8.99
11.06,36.25,bure,ET,2021-01-13 10:33:32,26.46,22.0,26.0,2.69
-41.05,-103.8,ancud,CL,2021-01-13 10:33:33,6.59,87.0,0.0,2.06
-5.02,115.89,martapura,ID,2021-01-13 10:32:13,26.0,89.0,40.0,1.54
33.82,40.61,abu kamal,SY,2021-01-13 10:33:34,21.84,22.0,100.0,5.04
12.49,-8.23,bamako,ML,2021-01-13 10:33:35,26.0,18.0,0.0,5.14
10.02,-6.73,boundiali,CI,2021-01-13 10:33:36,32.58,12.0,0.0,1.99
9.07,34.49,dembi dolo,ET,2021-01-13 10:33:36,26.91,25.0,38.0,3.78
-63.85,139.72,hobart,AU,2021-01-13 10:30:00,19.09,73.0,90.0,4.63
-30.95,33.22,durban,ZA,2021-01-13 10:31:25,27.91,78.0,20.0,4.12
83.12,31.0,berlevag,NO,2021-01-13 10:33:38,-14.5,47.0,0.0,19.03
21.91,46.81,riyadh,SA,2021-01-13 10:29:45,18.37,17.0,0.0,5.66
57.31,-28.09,grindavik,IS,2021-01-13 10:33:39,5.0,87.0,90.0,18.52
-9.83,-80.28,chimbote,PE,2021-01-13 10:33:40,20.71,88.0,100.0,2.33
-7.37,28.81,moba,CN,2021-01-13 10:33:41,-0.72,85.0,0.0,1.76
29.77,16.57,waddan,LY,2021-01-13 10:33:41,14.63,36.0,95.0,8.35
28.28,-87.23,warrington,GB,2021-01-13 10:30:00,2.68,100.0,90.0,3.6
53.69,-170.28,bethel,US,2021-01-13 10:33:42,-1.69,80.0,90.0,0.8
27.81,94.44,basar,IN,2021-01-13 10:33:43,19.0,88.0,75.0,2.57
-14.94,23.83,limulunga,ZM,2021-01-13 10:33:44,26.68,69.0,89.0,3.27
57.75,55.73,yugo-kamskiy,RU,2021-01-13 10:33:44,-23.0,64.0,16.0,2.0
78.19,-84.67,qaanaaq,GL,2021-01-13 10:33:45,-16.44,89.0,99.0,1.15
-20.66,156.69,hervey bay,AU,2021-01-13 10:33:47,23.89,76.0,0.0,0.45
-31.2,-40.24,arraial do cabo,BR,2021-01-13 10:33:47,25.57,78.0,40.0,7.2
9.95,37.2,shambu,ET,2021-01-13 10:33:48,20.69,43.0,58.0,1.62
26.91,50.67,manama,BH,2021-01-13 10:29:29,20.0,49.0,0.0,7.2
-47.03,176.53,christchurch,NZ,2021-01-13 10:33:50,17.09,88.0,90.0,2.06
-50.14,-106.51,castro,BR,2021-01-13 10:33:51,20.13,91.0,100.0,4.35
22.84,84.96,khunti,IN,2021-01-13 10:33:51,23.0,33.0,0.0,2.57
39.32,-62.77,liverpool,GB,2021-01-13 10:33:52,3.23,100.0,90.0,3.6
70.19,13.5,gravdal,NO,2021-01-13 10:33:53,-1.0,69.0,20.0,2.57
45.69,-37.51,ribeira grande,PT,2021-01-13 10:33:53,13.0,94.0,20.0,3.09
7.32,-80.68,la palma,US,2021-01-13 10:33:54,8.91,100.0,1.0,0.81
-16.72,62.15,grand gaube,MU,2021-01-13 10:33:54,28.89,74.0,28.0,3.58
69.82,114.18,saskylakh,RU,2021-01-13 10:33:55,-37.3,80.0,90.0,5.42
55.08,-53.13,saint anthony,US,2021-01-13 10:33:56,-2.33,100.0,1.0,1.36
63.24,106.31,yerbogachen,RU,2021-01-13 10:33:57,-30.51,84.0,100.0,4.03
66.27,-14.28,hofn,IS,2021-01-13 10:33:58,1.0,86.0,90.0,1.54
43.18,89.14,urumqi,CN,2021-01-13 10:33:59,-6.0,68.0,88.0,2.0
32.77,135.83,shingu,JP,2021-01-13 10:34:01,6.0,61.0,20.0,2.06
-60.46,77.96,souillac,MU,2021-01-13 10:34:02,29.0,70.0,40.0,6.17
43.73,15.99,sibenik,HR,2021-01-13 10:34:02,8.53,37.0,0.0,1.03
64.97,-131.7,inuvik,CA,2021-01-13 10:34:03,-20.0,84.0,98.0,1.03
61.26,-115.04,hay river,CA,2021-01-13 10:34:04,-3.51,93.0,99.0,2.06
-5.53,111.14,jati,PK,2021-01-13 10:34:04,28.41,12.0,0.0,1.29
89.95,126.92,tiksi,RU,2021-01-13 10:34:05,-37.06,80.0,36.0,1.51
45.73,-109.69,livingston,GB,2021-01-13 10:30:33,0.73,100.0,0.0,1.03
-27.45,-33.57,sao joao da barra,BR,2021-01-13 10:34:06,26.0,78.0,0.0,6.17
32.74,118.65,chuzhou,CN,2021-01-13 10:34:07,11.67,35.0,0.0,1.4
40.65,142.85,miyako,JP,2021-01-13 10:34:08,0.78,89.0,2.0,2.42
34.59,76.59,kargil,IN,2021-01-13 10:34:09,-17.0,71.0,0.0,0.13
-22.87,119.95,port hedland,AU,2021-01-13 10:34:09,33.0,75.0,4.0,6.69
73.52,-4.11,klaksvik,FO,2021-01-13 10:34:10,2.0,75.0,20.0,3.6
77.15,18.89,longyearbyen,SJ,2021-01-13 10:34:10,-6.0,86.0,75.0,3.6
35.43,23.26,platanos,GR,2021-01-13 10:34:11,9.85,58.0,40.0,5.66
47.3,-134.99,port hardy,CA,2021-01-13 10:34:12,5.0,93.0,90.0,7.2
21.48,143.65,shimoda,JP,2021-01-13 10:34:12,2.78,86.0,10.0,5.75
22.52,71.32,sayla,IN,2021-01-13 10:34:13,29.39,14.0,61.0,4.44
-15.87,96.82,labuhan,ID,2021-01-13 10:34:13,26.86,83.0,100.0,5.29
-4.68,-92.0,puerto ayora,EC,2021-01-13 10:34:14,23.33,94.0,33.0,1.34
-29.08,-70.63,vallenar,CL,2021-01-13 10:34:15,15.99,69.0,0.0,1.44
